address,is24qa_bezugsfrei_ab,is24qa_etage,is24qa_flaeche,is24qa_kaltmiete,is24qa_nebenkosten,is24qa_zi,lat,lng,url,zip_region_country
"Martin-Luther-Straße 117,",ab sofort,4 von 5,56 m²,512 €,,2,"52.48119762079091,",13.345365108856488,https://www.immobilienscout24.de/expose/108706282,"10825 Berlin, Schöneberg (Schöneberg)"
,ab sofort,3 von 7,64 m²,816 €,,2,,,https://www.immobilienscout24.de/expose/108706455,10243 Berlin
,01.12.2018,4 von 5,"120,75 m²",1.872 €,,"2,5",,,https://www.immobilienscout24.de/expose/108706949,14059 Berlin
"Roscherstraße 13,",01.03.2019,3 von 5,"54,19 m²",535 €,,2,"52.50091373209742,",13.302244894291853,https://www.immobilienscout24.de/expose/108707355,"10629 Berlin, Charlottenburg (Charlottenburg)"
"Hochstädter Str. 2,",,0,"70,94 m²","695,64 €",,2,"52.5517343488072,",13.364827344600371,https://www.immobilienscout24.de/expose/108705901,"13347 Berlin, Wedding (Wedding)"
"Liliencronstr. 9,",ab sofort,2 von 3,167 m²,1.590 €,,"4,5","52.44808869317226,",13.342359287373945,https://www.immobilienscout24.de/expose/108708478,"12167 Berlin-Steglitz, Steglitz (Steglitz)"
"Föttingerzeile 45,",ab sofort,9 von 10,82 m²,880 €,,3,"52.417378618182966,",13.39347823983125,https://www.immobilienscout24.de/expose/108708490,"12277 Berlin, Marienfelde (Tempelhof)"
"Chausseestraße 41b,",01.02.2019,5 von 5,"126,69 m²","2.310,85 €",,3,"52.53444528501205,",13.38002528355947,https://www.immobilienscout24.de/expose/108707800,"10115 Berlin, Mitte (Mitte)"
"Sauerdornweg 2,",ab sofort,2 von 2,39 m²,400 €,,2,"52.43594127297198,",13.490807099416008,https://www.immobilienscout24.de/expose/108708961,"12357 Berlin, Rudow (Neukölln)"
,07.02.2019,,74 m²,592 €,,3,,,https://www.immobilienscout24.de/expose/108709174,10785 berlin
,ab sofort,1 von 3,56 m²,"513,52 €",,2,,,https://www.immobilienscout24.de/expose/108709555,13439 Berlin
,,5 von 5,123 m²,2.500 €,,3,,,https://www.immobilienscout24.de/expose/108708499,10409 Berlin
"Lenaustraße 27,",,4 von 5,105 m²,1.264 €,,3,"52.490274072368955,",13.424755650419415,https://www.immobilienscout24.de/expose/108709873,"12047 Berlin, Neukölln (Neukölln)"
"Karlstadter Straße 25,",01.01.2019,3 von 3,"53,01 m²","446,34 €",,2,"52.569597907575734,",13.422587330466774,https://www.immobilienscout24.de/expose/108713843,"13189 Berlin, Pankow (Pankow)"
,,,41 m²,990 €,,"1,5",,,https://www.immobilienscout24.de/expose/108715194,10245 Berlin-Friedrichshain
"Hiltrud-Dudek-Weg 34,",01.01.2019,,"86,23 m²","784,69 €",,3,"52.4013958394789,",13.508828560428869,https://www.immobilienscout24.de/expose/108712515,"12355 Berlin, Rudow (Neukölln)"
,ab sofort,1 von 5,"92,39 m²",1.750 €,,3,,,https://www.immobilienscout24.de/expose/108713072,10405 Berlin
"Schloßstr. 66a,",01.03.2019,7 von 8,65 m²,645 €,,"2,5","52.45371527890233,",13.316878519802746,https://www.immobilienscout24.de/expose/108705880,"12165 Berlin, Steglitz (Steglitz)"
,sofort,1 von 4,95 m²,1.140 €,,3,,,https://www.immobilienscout24.de/expose/108702921,10119 Berlin
"Griechische Allee 58,",Nach Vereinbarung,1,"54,82 m²","567,88 €",,2,"52.46322761008271,",13.522559299479193,https://www.immobilienscout24.de/expose/108703083,"12459 Berlin, Oberschöneweide (Köpenick)"
"Derfflingerstr. 17,",nach Vereinbarung,,154 m²,2.195 €,,"4,5","52.502393206688865,",13.35633664181664,https://www.immobilienscout24.de/expose/108703330,"10785 Berlin, Tiergarten (Tiergarten)"
"Kantstraße 133,",14.01.2019,2 von 4,69 m²,710 €,,2,"52.505905425312335,",13.31506917915594,https://www.immobilienscout24.de/expose/108704218,"10625 Berlin, Charlottenburg (Charlottenburg)"
"Schönhauser Allee 54,",01.01.2019,3 von 5,77 m²,1.200 €,,2,"52.54337002249777,",13.412896172833129,https://www.immobilienscout24.de/expose/108701593,"10437 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
"Goltzstr. 9,",sofort,4,"98,3 m²","973,17 €",,4,"52.55997293874109,",13.210519018908553,https://www.immobilienscout24.de/expose/108701851,"13587 Berlin, Spandau (Spandau)"
"Schildhornstraße 69,",nach Vereinbarung,1 von 4,"55,87 m²",790 €,,2,"52.46431242317543,",13.315575066142772,https://www.immobilienscout24.de/expose/108704086,"12163 Berlin, Steglitz (Steglitz)"
"Goltzstr. 9,",sofort,,"63,85 m²","632,12 €",,3,"52.55997293874109,",13.210519018908553,https://www.immobilienscout24.de/expose/108701850,"13587 Berlin, Spandau (Spandau)"
"Neue Krugallee 226,",Nach Vereinbarung,1,"49,22 m²","513,84 €",,2,"52.46920685985649,",13.49279648622301,https://www.immobilienscout24.de/expose/108704331,"12437 Berlin, Plänterwald (Treptow)"
"Danziger Straße 73,",nach Vereinbarung,4 von 5,"80,13 m²",2.999 €,,4,"52.53925230668906,",13.425296688047746,https://www.immobilienscout24.de/expose/108704897,"10435 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
"Gürtelstraße 33B,",ab sofort,6 von 6,"78,68 m²",1.000 €,,3,"52.50978485530956,",13.474644726573596,https://www.immobilienscout24.de/expose/108705285,"10247 Berlin, Lichtenberg (Lichtenberg)"
"Dahlmannstraße 15,",01.01.2019,4 von 5,50 m²,900 €,,1,"52.500159232136554,",13.303476306541828,https://www.immobilienscout24.de/expose/108705080,"10629 Berlin, Charlottenburg (Charlottenburg)"
,zeitnah nach Absprache,6 von 6,57 m²,570 €,,2,,,https://www.immobilienscout24.de/expose/108705198,10715 Berlin
"Danziger Straße 77,",nach Vereinbarung,3 von 7,"79,5 m²",1.515 €,,3,"52.53895846788747,",13.426008071496597,https://www.immobilienscout24.de/expose/108704901,"10405 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
"Tschaikowskistrasse 3,",15.11.2018,3 von 3,"153,98 m²","1.847,76 €",,4,"52.57719723451589,",13.403488041538859,https://www.immobilienscout24.de/expose/108705419,"13156 Berlin, Niederschönhausen (Pankow)"
"Kameruner Str. 12,",sofort,0,60 m²,898 €,,2,"52.5500659578994,",13.34550664204927,https://www.immobilienscout24.de/expose/108705453,"13351 Berlin, Wedding (Wedding)"
"Lydia-Rabinowitsch-Straße 7,",ab sofort,3 von 5,"57,65 m²",917 €,,2,"52.53183778037746,",13.368035895954568,https://www.immobilienscout24.de/expose/108705555,"10557 Berlin, Tiergarten (Tiergarten)"
"Strelitzer Str. 59,",ab sofort,1 von 4,38 m²,640 €,,1,"52.53573503341619,",13.394387558500577,https://www.immobilienscout24.de/expose/108705580,"10115 Berlin, Mitte (Mitte)"
"Emser Str. 12,",ab sofort,5 von 5,130 m²,1.400 €,,4,"52.469692120071876,",13.43822633761775,https://www.immobilienscout24.de/expose/108705356,"12057 Berlin, Neukölln (Neukölln)"
"Müllerstr. 98 E,",02.02.19,3,"55,35 m²","657,26 €",,2,"52.55922683622098,",13.335968629952765,https://www.immobilienscout24.de/expose/108693395,"13349 Berlin, Wedding (Wedding)"
,ab sofort,,150 m²,2.000 €,,4,,,https://www.immobilienscout24.de/expose/108693485,10405 Berlin
"Müllerstr. 98,",02.03.19,4,"65,52 m²","727,82 €",,"2,5","52.55922683622098,",13.335968629952765,https://www.immobilienscout24.de/expose/108693396,"13349 Berlin, Wedding (Wedding)"
"Otto-Suhr-Allee 26,",sofort möglich,,"88,56 m²","1.582,97 €",,3,"52.515061444870284,",13.316725818367297,https://www.immobilienscout24.de/expose/108693600,"10585 Berlin, Charlottenburg (Charlottenburg)"
"Otto-Suhr-Allee 22A,",sofort möglich,,"125,17 m²","1.781,29 €",,5,"52.514718212666175,",13.317598450108393,https://www.immobilienscout24.de/expose/108693605,"10585 Berlin, Charlottenburg (Charlottenburg)"
"Otto-Suhr-Allee 22A,",sofort möglich,,"107,76 m²","1.715,54 €",,3,"52.514718212666175,",13.317598450108393,https://www.immobilienscout24.de/expose/108693608,"10585 Berlin, Charlottenburg (Charlottenburg)"
,01.11.2018,2,61 m²,1.300 €,,2,,,https://www.immobilienscout24.de/expose/108701187,12555 Berlin-Köpenick
"Fraunhoferstraße 21,",sofort möglich,,"128,38 m²","1.849,96 €",,4,"52.51564661032997,",13.31769627623753,https://www.immobilienscout24.de/expose/108693601,"10587 Berlin, Charlottenburg (Charlottenburg)"
"Mörchinger Straße 70,",ab sofort,1 von 3,"47,44 m²",600 €,,2,"52.43847408688162,",13.27428638291649,https://www.immobilienscout24.de/expose/108694676,"14169 Berlin, Zehlendorf (Zehlendorf)"
"Parksiedlung Spruch 130,",01.01.2019,3 von 3,51 m²,481 €,,2,"52.42248490774616,",13.404147962163892,https://www.immobilienscout24.de/expose/108694461,"12349 Berlin, Buckow (Neukölln)"
"Bansiner Str. 31,",01.02.2019,,58 m²,368 €,,3,"52.52034984195738,",13.584256675986575,https://www.immobilienscout24.de/expose/108695177,"12619 Berlin, Kaulsdorf (Hellersdorf)"
"Fraunhoferstraße 23b,",sofort zu haben,,"108,83 m²","1.523,62 €",,3,"52.51505981938624,",13.31678554848234,https://www.immobilienscout24.de/expose/108693673,"10587 Berlin, Charlottenburg (Charlottenburg)"
"Weißenburger Straße 34,",ab sofort,1 von 1,60 m²,600 €,,2,"52.52375725867528,",13.20144596569808,https://www.immobilienscout24.de/expose/108696000,"13595 Berlin, Spandau (Spandau)"
"Feldtmannstrasse 0,",29.11.2018,,15 m²,560 €,,1,"52.56275169032602,",13.481627552905564,https://www.immobilienscout24.de/expose/108696872,"13051 Berlin Weißensee (OT Hohenschönhausen), Weißensee (Weißensee)"
,01.01.2019,5 von 5,"103,1 m²",1.750 €,,3,,,https://www.immobilienscout24.de/expose/108696595,14059 Berlin
"Lasdehner Str. 30,",ab sofort,1 von 5,101 m²,1.276 €,,3,"52.51384123081889,",13.447857158972921,https://www.immobilienscout24.de/expose/108696287,"10243 Berlin, Friedrichshain (Friedrichshain)"
,ab sofort,4 von 6,85 m²,940 €,,3,,,https://www.immobilienscout24.de/expose/108696985,10115 Berlin
"Körtestraße 15,",01.01.2019,3 von 5,115 m²,1.600 €,,"3,5","52.49044956296784,",13.410367178232772,https://www.immobilienscout24.de/expose/108697190,"10967 Berlin, Kreuzberg (Kreuzberg)"
"Edisonstr. 31,",01.01.19,3 von 3,54 m²,685 €,,2,"52.46721841519026,",13.51398957410638,https://www.immobilienscout24.de/expose/108698941,"12459 Berlin-Oberschöneweide, Oberschöneweide (Köpenick)"
,5.1.2019,,50 m²,500 €,,"1,5",,,https://www.immobilienscout24.de/expose/108701011,12059 Berlin Neukölln
"Goltzstr. 9,",sofort,,"67,8 m²","671,22 €",,2,"52.55997293874109,",13.210519018908553,https://www.immobilienscout24.de/expose/108690259,"13587 Berlin, Spandau (Spandau)"
"Eugen-Roth-Weg 6,",ab sofort,6 von 8,"95,24 m²","619,06 €",,4,"52.52157560215717,",13.545155772119765,https://www.immobilienscout24.de/expose/108688817,"12683 Berlin, Marzahn (Marzahn)"
"Cecilienstraße 197,",ab sofort,1 von 6,"45,95 m²","459,04 €",,1,"52.52659227883026,",13.576247999177054,https://www.immobilienscout24.de/expose/108688818,"12683 Berlin, Biesdorf (Marzahn)"
"Eugen-Roth-Weg 6,",ab sofort,5 von 8,"95,22 m²","618,93 €",,4,"52.52157560215717,",13.545155772119765,https://www.immobilienscout24.de/expose/108688816,"12683 Berlin, Marzahn (Marzahn)"
"Alex-Wedding-Straße 5,",nach Vereinbarung,4 von 11,49 m²,710 €,,1,"52.52457373301126,",13.415208202580772,https://www.immobilienscout24.de/expose/108689190,"10178 Berlin, Mitte (Mitte)"
"Goltzstr. 9,",sofort,3,"47,06 m²","517,61 €",,2,"52.55997293874109,",13.210519018908553,https://www.immobilienscout24.de/expose/108690265,"13587 Berlin, Spandau (Spandau)"
"Afrikanische Str. 148,",09.02.19,3,"65,11 m²","733,47 €",,2,"52.55963142291261,",13.333856687672812,https://www.immobilienscout24.de/expose/108693393,"13351 Berlin, Wedding (Wedding)"
"Stellingdamm 6,",01.03.2019,2 von 4,110 m²,920 €,,3,"52.4591492001581,",13.58190747313254,https://www.immobilienscout24.de/expose/108691150,"12555 Berlin, Köpenick (Köpenick)"
"Fortunaallee 15-19,",01.04.2019,2 von 5,"62,72 m²",828 €,,2,"52.49145237517755,",13.567226805799262,https://www.immobilienscout24.de/expose/108691445,"12683 Berlin, Biesdorf (Marzahn)"
"Woltmannweg 9,",ab sofort,2 von 3,"79,32 m²","537,60 €",,3,"52.417846766807195,",13.321637105242473,https://www.immobilienscout24.de/expose/108691874,"12209 Berlin, Lichterfelde (Steglitz)"
"Fortunaallee 15-19,",01.04.2019,3 von 5,"50,06 m²",651 €,,2,"52.49145237517755,",13.567226805799262,https://www.immobilienscout24.de/expose/108691447,"12683 Berlin, Biesdorf (Marzahn)"
"Fortunaallee 15-19,",01.04.2019,0 von 5,"79,41 m²",953 €,,3,"52.49145237517755,",13.567226805799262,https://www.immobilienscout24.de/expose/108691188,"12683 Berlin, Biesdorf (Marzahn)"
,ab 15.01.2019,2 von 2,105 m²,798 €,,3,,,https://www.immobilienscout24.de/expose/108692896,12623 Berlin
"Gartenfelder Str. 47 b,",18.04.19,3,"52,49 m²","461,89 €",,2,"52.545877487092575,",13.248896115620349,https://www.immobilienscout24.de/expose/108692789,"13599 Berlin, Haselhorst (Spandau)"
"Friedrich-Wolf-Str. 53,",19.10.19,2,"49,81 m²","395,04 €",,2,"52.42275437590378,",13.575156373526667,https://www.immobilienscout24.de/expose/108693332,"12527 Berlin, Grünau (Köpenick)"
"Guntherstraße 43,",Ende Dezember 2018,2 von 4,"43,5 m²",475 €,,1,"52.51356581643945,",13.500746087161268,https://www.immobilienscout24.de/expose/108691232,"10365 Berlin, Lichtenberg (Lichtenberg)"
"Rudolf-Leonhard-Str. 21,",17.12.18,6,"77,14 m²","617,12 €",,4,"52.55075544040319,",13.571025968135324,https://www.immobilienscout24.de/expose/108693334,"12679 Berlin, Marzahn (Marzahn)"
"Mickestr. 20,",21.01.19,1,51 m²,"530,40 €",,"1,5","52.563818008520165,",13.372165589442897,https://www.immobilienscout24.de/expose/108693357,"13409 Berlin, Reinickendorf (Reinickendorf)"
,15.12.18,3 von 6,52 m²,1.500 €,,2,,,https://www.immobilienscout24.de/expose/108693358,10117 Berlin
"Gustave-Courbet-Str. 10,",18.04.19,1,"77,9 m²","510,71 €",,3,"52.55281007822119,",13.30915573724886,https://www.immobilienscout24.de/expose/108693348,"13405 Berlin, Wedding (Wedding)"
"Platz des 4 Juli 12,",1.1.2019,1,"41,03 m²",495 €,,2,"52.420622102544414,",13.28634875243793,https://www.immobilienscout24.de/expose/108686428,"14167 Berlin, Lichterfelde (Steglitz)"
"Rosestraße 1,",ab sofort,3 von 3,"37,04 m²",464 €,,1,"52.4133229003663,",13.563335778491782,https://www.immobilienscout24.de/expose/108686932,"12524 Berlin, Altglienicke (Treptow)"
"Stendaler Str. 35,",sofort,1,"40,87 m²",489 €,,2,"52.53972590861267,",13.603037577228383,https://www.immobilienscout24.de/expose/108688383,"12627 Berlin, Hellersdorf (Hellersdorf)"
"Eugen-Roth-Weg 6,",ab sofort,2 von 8,"76,49 m²","497,19 €",,3,"52.52157560215717,",13.545155772119765,https://www.immobilienscout24.de/expose/108688815,"12683 Berlin, Marzahn (Marzahn)"
"Kastanienallee 88,",sofort,2,"69,86 m²",599 €,,3,"52.541362663072874,",13.600786877423355,https://www.immobilienscout24.de/expose/108688384,"12627 Berlin, Hellersdorf (Hellersdorf)"
"Henny-Porten-Str. 8,",sofort,4,"72,23 m²",689 €,,3,"52.53889514427709,",13.603345865590812,https://www.immobilienscout24.de/expose/108688385,"12627 Berlin, Hellersdorf (Hellersdorf)"
"Kraetkestraße 18,",nach Vereinbarung,0 von 0,"75,87 m²","797,50 €",,3,"52.50464957408387,",13.507628120069148,https://www.immobilienscout24.de/expose/108687833,"10315 Berlin, Friedrichsfelde (Lichtenberg)"
"Peter-Weiss-Gasse 6,",sofort,1,"43,42 m²",499 €,,"1,5","52.53755734334242,",13.606907756543517,https://www.immobilienscout24.de/expose/108688386,"12627 Berlin, Hellersdorf (Hellersdorf)"
"Tirschenreuther Ring 23,",ab sofort,2 von 12,"59,61 m²","421,44 €",,2,"52.40838293745973,",13.349486838054748,https://www.immobilienscout24.de/expose/108688809,"12279 Berlin, Marienfelde (Tempelhof)"
,nach Vereinbarung,5 von 5,"65,71 m²",629 €,,2,,,https://www.immobilienscout24.de/expose/108688525,12685 Berlin
"Mentzelstraße 17,",01.02.2019,4 von 4,"47,84 m²","350,47 €",,2,"52.44657845950246,",13.56694541639722,https://www.immobilienscout24.de/expose/108688806,"12555 Berlin, Köpenick (Köpenick)"
"Intzestraße 25,",ab sofort,3 von 3,"72,94 m²","584,10 €",,3,"52.414467922090886,",13.370776782047537,https://www.immobilienscout24.de/expose/108688808,"12277 Berlin, Marienfelde (Tempelhof)"
"Färberstraße 3,",ab sofort,4 von 4,"56,85 m²","416,48 €",,3,"52.44607917012179,",13.564978713698556,https://www.immobilienscout24.de/expose/108688805,"12555 Berlin, Köpenick (Köpenick)"
"Rhinstraße 13,",15.01.2019,2,"37,17 m²",459 €,,1,"52.512736504429114,",13.517815008439799,https://www.immobilienscout24.de/expose/108688387,"10315 Berlin, Friedrichsfelde (Lichtenberg)"
,nach Vereinbarung,5 von 6,"67,73 m²",629 €,,2,,,https://www.immobilienscout24.de/expose/108688520,12685 Berlin
"Havemannstraße 11,",01.02.2019,5 von 6,"48,63 m²","356,80 €",,2,"52.569161169233965,",13.570978631077221,https://www.immobilienscout24.de/expose/108688811,"12689 Berlin, Marzahn (Marzahn)"
"Rosenbecker Straße 29,",ab sofort,3 von 6,"32,54 m²","261,29 €",,1,"52.57193649707125,",13.571287320896943,https://www.immobilienscout24.de/expose/108688812,"12689 Berlin, Marzahn (Marzahn)"
"Niemegker Straße 4,",ab sofort,6 von 7,"90,42 m²","742,35 €",,3,"52.56566431628458,",13.565998875929214,https://www.immobilienscout24.de/expose/108688813,"12689 Berlin, Marzahn (Marzahn)"
"Schorfheidestraße 20,",ab sofort,6 von 6,"68,49 m²","410,60 €",,3,"52.56990919665055,",13.576296540267029,https://www.immobilienscout24.de/expose/108688810,"12689 Berlin, Marzahn (Marzahn)"
"Eugen-Roth-Weg 4,",ab sofort,2 von 8,"76,49 m²","764,14 €",,3,"52.521461508317664,",13.545625780298765,https://www.immobilienscout24.de/expose/108688814,"12683 Berlin, Marzahn (Marzahn)"
"Reichenberger Str --,",ab sofort,1 von 5,60 m²,659 €,,2,"52.4963276336869,",13.427635559309318,https://www.immobilienscout24.de/expose/108686149,"10999 Berlin, Kreuzberg (Kreuzberg)"
"Hohenzollernring 161a,",ab sofort,2 von 4,"94,4 m²",963 €,,3,"52.54186371968617,",13.193518000877248,https://www.immobilienscout24.de/expose/108684691,"13585 Berlin, Spandau (Spandau)"
"Gartenfelder Str. 118D,",01.01.2019,3,"47,21 m²","374,42 €",,2,"52.542786186274384,",13.236428518175353,https://www.immobilienscout24.de/expose/108684727,"13599 Berlin, Haselhorst (Spandau)"
"Gartenfelder Str. 106E,",sofort,3,"55,28 m²","408,52 €",,3,"52.5435644519521,",13.238056028674787,https://www.immobilienscout24.de/expose/108684716,"13599 Berlin, Haselhorst (Spandau)"
,kurzfristig möglich!,1,"69,71 m²","799,57 €",,2,,,https://www.immobilienscout24.de/expose/108684654,13359 Berlin
"Lüdenscheider Weg 9G,",01.02.2019,,"39,75 m²","358,11 €",,2,"52.54525388100538,",13.234927892365594,https://www.immobilienscout24.de/expose/108684708,"13599 Berlin, Haselhorst (Spandau)"
"Burscheider Weg 8B,",01.02.2019,2,"56,34 m²","474,10 €",,2,"52.545433959947154,",13.239147749767643,https://www.immobilienscout24.de/expose/108684722,"13599 Berlin, Haselhorst (Spandau)"
,sofort möglich!,3,"67,63 m²","749,34 €",,2,,,https://www.immobilienscout24.de/expose/108684602,12487 Berlin
,kurzfristig möglich!,2,"55,65 m²","699,52 €",,2,,,https://www.immobilienscout24.de/expose/108684745,13359 Berlin
,schon kurzfristig möglich!,4,"71,99 m²","899,88 €",,2,,,https://www.immobilienscout24.de/expose/108684796,13347 Berlin
,schon kurzfristig möglich!,,"91,2 m²","1.199,28 €",,3,,,https://www.immobilienscout24.de/expose/108684856,12159 Berlin
"Berliner Straße 159,",schon kurzfristig!,3,"92,9 m²",1.249 €,,3,"52.48739929567968,",13.333919335891672,https://www.immobilienscout24.de/expose/108684869,"10715 Berlin, Wilmersdorf (Wilmersdorf)"
,schon kurzfristig möglich!,1,"88,59 m²","1.099,40 €",,3,,,https://www.immobilienscout24.de/expose/108684827,10317 Berlin
,kurzfristig möglich!,5 von 5,"79,35 m²","949,82 €",,2,,,https://www.immobilienscout24.de/expose/108684812,13359 Berlin
"Platz des 4 Juli 12,",1.1.2019,1,60 m²,680 €,,2,"52.420622102544414,",13.28634875243793,https://www.immobilienscout24.de/expose/108685542,"14167 Berlin, Lichterfelde (Steglitz)"
,schon kurzfristig möglich!,0 von 2,242 m²,2.900 €,,5,,,https://www.immobilienscout24.de/expose/108684881,14129 Berlin
"Thrasoltstraße 24,",15.12.2018,1 von 5,"56,3 m²",640 €,,2,"52.51477234068194,",13.303508118711365,https://www.immobilienscout24.de/expose/108685719,"10585 Berlin, Charlottenburg (Charlottenburg)"
"Karl-Kunger-Str. 1,",01.01.2019,4 von 5,90 m²,750 €,,"2,5","52.49272765584695,",13.444577984877016,https://www.immobilienscout24.de/expose/108685727,"12435 Berlin, Treptow (Treptow)"
"Billy Wilder Promenade 11,",15.12.2018,1,"52,58 m²",656 €,,2,"52.420622102544414,",13.28634875243793,https://www.immobilienscout24.de/expose/108686071,"14167 Berlin, Lichterfelde (Steglitz)"
"Karl Marx Allee 00,",ab sofort,7 von 7,"63,98 m²","1.023,68 €",,2,"52.51602896263089,",13.451839221943235,https://www.immobilienscout24.de/expose/108686072,"10243 Berlin, Friedrichshain (Friedrichshain)"
"Kösliner Str. 22,",sofort,1 von 4,"53,27 m²",455 €,,2,"52.54686805230704,",13.370485324025141,https://www.immobilienscout24.de/expose/108681636,"13357 Berlin, Wedding (Wedding)"
"Lausitzer Straße 46,",ab sofort,2 von 5,"54,4 m²",816 €,,1,"52.49756375613891,",13.429449043236374,https://www.immobilienscout24.de/expose/108682003,"10999 Berlin, Kreuzberg (Kreuzberg)"
,03.01.2019,3 von 3,"30,11 m²",390 €,,1,,,https://www.immobilienscout24.de/expose/108681374,13409 Berlin
"Hallberger Zeile 14,",07.12.2018,3,"37,45 m²","471,87 €",,2,"52.46089837849362,",13.485177703503206,https://www.immobilienscout24.de/expose/108681880,"12437 Berlin, Baumschulenweg (Treptow)"
"Landsberger Allee 177,",nach Vereinbarung,11,"30,36 m²","273,24 €",,1,"52.53237858485302,",13.47080755686708,https://www.immobilienscout24.de/expose/108681927,"10369 Berlin, Lichtenberg (Lichtenberg)"
"Pistoriusplatz 19,",Nach Vereinbarung,4,"49,89 m²","598,68 €",,2,"52.55198730562091,",13.450205055806832,https://www.immobilienscout24.de/expose/108681938,"13086 Berlin, Weißensee (Weißensee)"
"Trützschlerstr. 1,",sofort,1 von 5,"105,34 m²",1.000 €,,3,"52.44557451085831,",13.505995298588681,https://www.immobilienscout24.de/expose/108681623,"12487 Berlin, Johannisthal (Treptow)"
"Holteistraße 16,",16.12.2018,6 von 6,"74,56 m²",1.290 €,,2,"52.508992313546074,",13.466893732138841,https://www.immobilienscout24.de/expose/108682631,"10245 Berlin, Friedrichshain (Friedrichshain)"
,kurzfristig möglich!,5 von 5,"58,21 m²","699,68 €",,2,,,https://www.immobilienscout24.de/expose/108684587,13359 Berlin
"Schönhauser Allee 149,",ab sofort,3 von 3,112 m²,1.200 €,,4,"52.53906456834098,",13.411479163093086,https://www.immobilienscout24.de/expose/108682441,"10435 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
"Holteistraße 14,",16.12.2018,3 von 6,"98,97 m²",1.440 €,,3,"52.50869850829388,",13.466631894632135,https://www.immobilienscout24.de/expose/108682639,"10245 Berlin, Friedrichshain (Friedrichshain)"
"Graf-Haeseler-Straße 27,",,4 von 5,89 m²,"1.023,50 €",,3,"52.56879744827417,",13.313349402805285,https://www.immobilienscout24.de/expose/108683700,"13403 Berlin, Reinickendorf (Reinickendorf)"
"Diestelmeyerstraße 4a,",15.01.2019,3 von 4,131 m²,1.900 €,,4,"52.52166261386869,",13.440819321972615,https://www.immobilienscout24.de/expose/108683119,"10249 Berlin, Friedrichshain (Friedrichshain)"
"Corinthstraße 61,",ab sofort,2 von 4,"60,7 m²",785 €,,2,"52.499078227154094,",13.464969491562831,https://www.immobilienscout24.de/expose/108683813,"10245 Berlin, Friedrichshain (Friedrichshain)"
"Alte Hellersdorfer Str. 125,",15.02.2019,3,"69,4 m²","555,20 €",,3,"52.546153270622675,",13.591268921609418,https://www.immobilienscout24.de/expose/108683816,"12629 Berlin, Hellersdorf (Hellersdorf)"
"Alte Hellersdorfer Str. 129,",30.01.2019,3,"32,6 m²","310,64 €",,1,"52.54649731005751,",13.591056579171399,https://www.immobilienscout24.de/expose/108683814,"12629 Berlin, Hellersdorf (Hellersdorf)"
"Zossener Str. 93,",15.02.2019,9,"70,28 m²","575,08 €",,3,"52.54564210248623,",13.589715955629002,https://www.immobilienscout24.de/expose/108683817,"12629 Berlin, Hellersdorf (Hellersdorf)"
"Ludwigsfelder Str. 6,",15.02.2019,4,"69,4 m²","541,32 €",,3,"52.54623519382301,",13.590346957448464,https://www.immobilienscout24.de/expose/108683818,"12629 Berlin, Hellersdorf (Hellersdorf)"
"Alte Hellersdorfer Str. 148,",14.12.2018,3,68 m²,"491,77 €",,2,"52.547144947133205,",13.592934891956805,https://www.immobilienscout24.de/expose/108683820,"12629 Berlin, Hellersdorf (Hellersdorf)"
,kurzfristig möglich!,5 von 5,"51,36 m²","699,52 €",,2,,,https://www.immobilienscout24.de/expose/108684572,13359 Berlin
,15.02.2019,2,"58,06 m²",815 €,,2,,,https://www.immobilienscout24.de/expose/108681218,14057 Berlin
"Trarbacher Str. 8,",01.02.2019,2 von 3,27 m²,320 €,,1,"52.558621293614024,",13.46863874680137,https://www.immobilienscout24.de/expose/108678467,"13088 Berlin, Weißensee (Weißensee)"
"Quedlinburger Str. 67,",03.02.2019,5,"55,4 m²","463,84 €",,2,"52.540965461876155,",13.61544434449898,https://www.immobilienscout24.de/expose/108678901,"12627 Berlin, Hellersdorf (Hellersdorf)"
"Martin-Wagner-Ring 19C,",Nach Vereinbarung,3,"62,72 m²","502,26 €",,"2,5","52.440294003704985,",13.440886703876629,https://www.immobilienscout24.de/expose/108678855,"12359 Berlin, Britz (Neukölln)"
"Feldtmannstrasse 0,",06.01.2019,,18 m²,580 €,,1,"52.56275169032602,",13.481627552905564,https://www.immobilienscout24.de/expose/108678547,"13051 Berlin Weißensee, Weißensee (Weißensee)"
"Alex-Wedding-Straße 5,",nach Vereinbarung,10 von 11,127 m²,2.100 €,,4,"52.52457373301126,",13.415208202580772,https://www.immobilienscout24.de/expose/108678552,"10178 Berlin, Mitte (Mitte)"
"Baumschulenstr. 52,",07.12.2018,2,"72,31 m²","578,48 €",,"2,5","52.461911919797814,",13.48293881262216,https://www.immobilienscout24.de/expose/108678861,"12437 Berlin, Baumschulenweg (Treptow)"
"Nossener Str. 54,",21.01.2019,4,"52,66 m²","482,19 €",,3,"52.53046249107888,",13.60725651287533,https://www.immobilienscout24.de/expose/108678895,"12627 Berlin, Hellersdorf (Hellersdorf)"
